spcode,light,block,h1,h2,baseW.a,baseW.b,canW.a,canW.b,tiller.num,tiller1tck.a,tiller1tck.b,tiller2tck.a,tiller2tck.b,tiller3tck.a,tiller3tck.b
bogr2,s,b5,2.5,25.5,3.4,3.1,12.6,12.6,83,0.79,0.66,0.89,0.89,0.85,1.01
bogr2,s,b5,2.5,25.5,3.3,3.1,12.6,12.6,83,0.82,0.79,0.53,0.69,0.7,0.87
bogr2,s,b5,2.5,25.5,2.9,3.1,12.6,12.6,83,0.55,0.64,0.54,0.82,0.65,0.83
navi4,s,b5,10,46,4.6,2.9,19,17.6,23,1.87,2.79,1.43,1.86,2.04,2.52
navi4,s,b5,10,46,3.5,2.3,15,9,23,1.34,1.78,1.89,2.11,1.65,2.23
navi4,s,b5,10,46,3,3.5,15.5,8,23,2,1.55,1.79,1.41,1.23,1.52
pimi,s,b5,2.1,24.5,3.3,3,12.6,12.6,120,0.94,1.04,0.79,1.13,0.79,1.32
pimi,s,b5,2.1,24.5,3.2,3.5,12.6,12.6,120,0.93,1.03,0.79,0.92,0.59,1.11
pimi,s,b5,2.1,24.5,3.1,2.9,12.6,12.6,120,0.46,0.46,0.43,0.75,0.5,0.64
paha,s,b5,4.3,66,3.4,4.3,40,19.5,40,1.53,1.81,1.64,2.05,1.52,1.89
paha,s,b5,4.3,66,4,3.5,28,34,40,1.79,1.93,1.68,2.06,1.56,1.66
paha,s,b5,4.3,66,3.9,3.8,31,38.5,40,1.44,1.68,1.5,1.7,1.06,1.51
elvi3,s,b5,4.5,39,4.9,6.8,14.7,14,45,1.45,3.43,3,2.72,1.74,3.63
elvi3,s,b5,4.5,39,3,7,16,16.5,45,1.41,3.11,1.87,2.42,1.42,2.4
elvi3,s,b5,4.5,39,6.4,6.1,16,15,45,1.84,2.66,1.97,1.77,1.42,1.5
navi4,fs,b5,3,46,4.8,4.9,41,24,45,1.01,1.87,1.5,1.87,2.03,1.97
navi4,fs,b5,3,46,6.4,4.1,30,23,45,1.23,1.59,1.08,1.13,1.2,1.46
navi4,fs,b5,3,46,5.1,4.6,22.5,22,45,1.54,1.12,1.18,1.32,1.42,1.52
ercu2,s,b5,6.3,34,6.5,4.6,35.5,23.5,106,0.94,2.34,1.55,1.87,0.81,1.36
ercu2,s,b5,6.3,34,5.2,5.7,14.5,23,106,0.8,1.67,0.83,1.01,0.55,0.93
ercu2,s,b5,6.3,34,5.7,5,17,25,106,0.48,1.2,0.52,1.03,0.36,0.72
pava2,s,b5,13.5,42.8,2.9,3.2,40,21,23,0.91,1.73,1.44,2.44,0.94,1.96
pava2,s,b5,13.5,42.8,2.9,2.7,25,30,23,0.89,0.98,1.45,2.01,1.04,1.11
pava2,s,b5,13.5,42.8,2.8,2.7,25,33,23,1.18,0.85,1.16,1.95,0.77,1.06
